i01.json,4576831,1.95
i02.json,3086125,8.26
i02.json,3343865,9.33
i01.json,7164047,2.55
i01.json,8281836,3.31
i02.json,1078366,13.15
i02.json,1624228,13.62
i01.json,21539700,5.66
i04.json,7947784,52.09
i03.json,33932676,17.62
i01.json,14407722,5.7
i01.json,3644763,2.84
i01.json,12774889,6.3
i01.json,9590598,4.67
i01.json,6755737,3.43
i01.json,16670077,6.97
i01.json,7969837,4.02
i01.json,7334863,3.45
i02.json,2433045,13.48
i02.json,3033078,13.66
i02.json,1983586,9.94
i02.json,739286,11.69
i03.json,27178576,14.44
i01.json,9686881,4.77
i01.json,6530621,4.64
i01.json,5125635,3.68
i02.json,1144048,12.5
i02.json,2838521,9.85
i02.json,2564002,14.71
i02.json,2387490,18.03
i02.json,2532663,15.69
i01.json,17801225,48.05
i01.json,14687603,65.78
i01.json,23121493,108.49
i01.json,25330154,99.15
i01.json,33396176,145.28
i01.json,18647851,50.91
i01.json,21081889,86.01
i01.json,24484701,129.81
i01.json,4709974,74.87
i03.json,9639786,256.28
i03.json,77473381,267.97
i01.json,58109010,129.3
i01.json,48088186,79.82
i01.json,42247009,106.13
i01.json,41441853,72.2
i01.json,40017428,63.67
i30.json,2591645792,3747.1
i01.json,57613558,92.9
i01.json,439768,55.53
i01.json,569458,44.43
i01.json,894933,64.69
i02.json,344509,189.43
i02.json,455622,126.37
i02.json,593243,178.64
i03.json,22061116,235.9
i01.json,498773,89.58
i01.json,543713,70.06
i01.json,183229,11.72
i01.json,4654,105.92
i01.json,6269,109.23
i01.json,6534,60.8
i01.json,188659,126.86
i01.json,8312,11.99
i02.json,2016,453.97
i02.json,3896,514.39
i02.json,1978,467.8
i02.json,2069,307.89
i01.json,185221,125.8
i01.json,65097,38.23
i01.json,127029,39.61
i01.json,126881,60.87
i01.json,187148,68.0
i02.json,1765,301.87
i01.json,545052,72.01
i01.json,728791,54.66
i01.json,5865,43.61
i01.json,5942,46.72
i01.json,6150,49.42
i01.json,5988,52.22
i01.json,6004,52.08
i01.json,702869,42.63
i01.json,302458,45.88
i01.json,367089,57.52
i01.json,546928,55.34
i01.json,545011,54.08
i01.json,367041,59.46
i01.json,547972,61.31
i01.json,365002,60.86
i02.json,2452,331.91
i01.json,187846,55.12
i02.json,2087,95.27
i01.json,185036,9.31
i01.json,208057,11.0
i01.json,325296,10.37
i01.json,328884,9.52
i01.json,331038,13.31
i01.json,315102,11.93
i02.json,9188,116.13
i01.json,317195,31.44
i01.json,315077,29.32
i01.json,313144,26.78
i01.json,310957,27.99
i02.json,5403,180.04
i01.json,317784,256.23
i02.json,7258,505.19
